City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Ugoofaaru,MV,83.48,clear sky,5.67,73.0,Ungoofaaru Inn
7,Senanga,ZM,76.1,broken clouds,-16.12,23.27,Christopher Nasilele House
15,Victoria,HK,84.0,light rain,22.29,114.16,Mini Hotel Central
16,Inongo,CD,75.16,overcast clouds,-1.95,18.27,Hotel Du Lac
23,Bousse,BF,83.34,broken clouds,12.66,-1.89,Maison d'hôtes EBEN-EZER DE BOUSSE
24,Port-Gentil,GA,78.8,broken clouds,-0.72,8.78,Fengshui Residence
29,Hithadhoo,MV,81.91,few clouds,-0.6,73.08,Scoop Guest House
30,San Cristobal,VE,84.2,scattered clouds,7.77,-72.22,Pirineos
38,Tiznit,MA,81.73,clear sky,29.58,-9.5,
42,Morant Bay,JM,89.6,few clouds,17.88,-76.41,Whispering Bamboo Cove Resort
44,Ribeira Grande,PT,80.6,scattered clouds,38.52,-28.7,Quinta da Meia Eira
45,Beloha,MG,77.41,broken clouds,-25.17,45.05,
46,Conakry,GN,79.11,moderate rain,9.54,-13.68,Riviera Royal Hotel
48,Georgetown,MY,80.6,heavy intensity rain,5.41,100.34,Cititel Penang
50,Gouyave,GD,84.2,scattered clouds,12.16,-61.73,Rumboat Retreat
51,Bud,US,75.0,clear sky,39.45,-86.18,Madsion Scouts Camp
55,Salalah,OM,78.8,overcast clouds,17.02,54.09,HAMDAN PLAZA HOTEL
56,Caravelas,BR,80.58,scattered clouds,-17.71,-39.25,Pousada dos Navegantes
57,Port Blair,IN,82.49,moderate rain,11.67,92.75,Fortune Resort Bay Island
63,Cuamba,MZ,78.96,clear sky,-14.8,36.54,Hotel Vision
65,Islamkot,PK,82.98,heavy intensity rain,24.7,70.18,Ghazi Guest House
66,Faya,SA,82.4,scattered clouds,18.39,42.45,مقبرة ال مجمل
70,Ithaki,GR,86.0,clear sky,38.36,20.72,Mentor Hotel
72,Sao Filipe,CV,79.75,scattered clouds,14.9,-24.5,Tortuga B&B
75,Sao Joao Da Barra,BR,86.0,few clouds,-21.64,-41.05,Pousada Porto De Canoas
84,Bengkulu,ID,77.27,light rain,-3.8,102.27,Grage Hotel Bengkulu
85,Arraial Do Cabo,BR,89.6,clear sky,-22.97,-42.03,Pousada Porto Praia
88,Cabedelo,BR,84.2,few clouds,-6.98,-34.83,Lua Mansa Pousada
93,Ailigandi,PA,86.16,overcast clouds,9.23,-78.02,akwa reef lodge
94,Castro,BR,80.31,clear sky,-24.79,-50.01,CHACARA BAILLY
95,Granollers,ES,75.2,scattered clouds,41.61,2.29,B&B Hotel Barcelona Granollers
99,West Bay,KY,90.0,few clouds,19.37,-81.42,Calypso Cove
101,Sao Paulo De Olivenca,BR,85.17,overcast clouds,-3.38,-68.87,
104,Kielce,PL,82.99,scattered clouds,50.87,20.63,Qubus Hotel Kielce
105,Kavaratti,IN,82.45,broken clouds,10.57,72.64,Bismillah Hotel And Lodging
107,Axim,GH,77.38,overcast clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
111,Monrovia,LR,78.8,light intensity drizzle,6.3,-10.8,Eco-Hotel Hall & Restaurant
115,Yenagoa,NG,77.74,light rain,4.92,6.26,Amba Hotels Limited
117,Mumford,GH,75.97,overcast clouds,5.26,-0.76,Spanish Villa
121,Zaranj,AF,86.0,clear sky,30.97,61.88,غزنوی هوتل
123,Ponta Delgada,PT,77.0,scattered clouds,37.73,-25.67,Vila Nova Hotel
133,Praia Da Vitoria,PT,82.4,scattered clouds,38.73,-27.07,Hotel Branco I
138,Hargeysa,SO,76.93,broken clouds,9.56,44.06,Imperial Hotel
139,Marzuq,YE,85.26,light rain,14.4,46.47,
142,America Dourada,BR,88.77,scattered clouds,-11.46,-41.44,Pousada do Ninho
144,Manaus,BR,84.2,broken clouds,-3.1,-60.02,Hotel do Largo
147,Saint George,US,88.0,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
148,Narasaraopet,IN,83.61,few clouds,16.25,80.07,AT International Lodge
150,Mogosani,RO,84.0,clear sky,44.68,25.4,
152,Severnyy,RU,80.6,clear sky,50.68,36.55,Full House North Mini-Hotel
154,Vila Velha,BR,81.0,scattered clouds,-20.33,-40.29,Hotel Vitória Palace
155,Reidsville,US,82.99,haze,36.35,-79.66,Holiday Inn Express & Suites Reidsville
157,Ponta Do Sol,PT,77.0,few clouds,32.67,-17.1,Hotel do Campo
158,Santa Cecilia,BR,81.19,clear sky,-26.96,-50.43,Hotel Italiano
160,Belmonte,BR,78.8,scattered clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
166,Ngerengere,TZ,80.6,few clouds,-6.75,38.12,
167,Maceio,BR,82.4,broken clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
170,Kulhudhuffushi,MV,83.59,scattered clouds,6.62,73.07,Haajy Guest House 1
172,Kutum,SD,80.92,scattered clouds,14.2,24.67,Dibbo areaمنطقة دبو
174,Nantucket,US,75.2,clear sky,41.28,-70.1,Jared Coffin House
180,Bull Savanna,JM,84.38,light rain,17.89,-77.59,Big Red's
182,Bonfim,BR,84.97,light rain,3.08,-59.95,
183,Tamboril,DO,89.6,scattered clouds,19.49,-70.61,Camp David Ranch Restaurant
184,San Andres,CO,87.8,few clouds,12.58,-81.7,Hotel Arena Blanca
189,Brumadinho,BR,87.8,few clouds,-20.14,-44.2,Ville de Montagne Hotel
191,Khanino,RU,75.2,clear sky,54.21,36.62,
197,Filingue,NE,89.02,overcast clouds,14.35,3.32,
199,Ouesso,CG,75.99,overcast clouds,1.61,16.05,Hôtel ABENI
203,Altamira,BR,89.6,broken clouds,-3.2,-52.21,Requinte Hotel
206,Gao,ML,89.08,overcast clouds,16.64,1.64,
213,San Miguel,SV,87.8,clear sky,13.48,-88.18,Excalibur
214,Saint Anthony,US,75.0,clear sky,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
217,Rio Do Sul,BR,82.99,clear sky,-27.21,-49.64,Hotel | Restaurante Aliança Express
219,Chlorakas,CY,86.0,clear sky,34.8,32.41,Elysium Hotel
221,Bandarbeyla,SO,77.13,overcast clouds,9.49,50.81,REER XOOSHLE GROUP
224,Malpe,IN,80.6,scattered clouds,13.35,74.72,Hotel Sri Krishna Residency
227,Ratnagiri,IN,79.39,light rain,16.98,73.3,Hotel Landmark
229,Karauli,IN,77.68,clear sky,26.5,77.02,Bhanwar Vilas Palace
233,Charagua,BO,78.48,broken clouds,-19.8,-63.22,Residencial Luismar
235,Fomboni,KM,76.98,clear sky,-12.28,43.74,Auberge les abou
236,Hambantota,LK,81.46,overcast clouds,6.12,81.12,Bungalow 63
238,Cayenne,GF,89.6,broken clouds,4.93,-52.33,Hôtel Le Dronmi
240,Gosainganj,IN,83.1,clear sky,26.58,82.38,RAM PHOOL SWEETS
243,Kinkala,CG,86.0,few clouds,-4.36,14.76,Hotel la Vernande
245,Venice,US,90.0,scattered clouds,27.1,-82.45,A Beach Retreat
