City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Pertuis,43.69,5.5,68.0,60,0,14.99,FR,2020-08-30 08:47:17
1,Pertuis,43.69,5.5,68.0,60,0,14.99,FR,2020-08-30 08:47:17
2,Cape Town,-33.93,18.42,53.01,71,20,2.24,ZA,2020-08-30 08:50:44
3,Lagoa,39.05,-27.98,73.63,95,12,9.33,PT,2020-08-30 08:50:45
4,Margate,51.38,1.39,62.01,81,97,4.0,GB,2020-08-30 08:50:45
5,Saint George,37.1,-113.58,82.0,30,1,13.87,US,2020-08-30 08:50:45
6,Narsaq,60.92,-46.05,59.0,33,75,20.8,GL,2020-08-30 08:50:45
7,Wattegama,6.8,81.48,95.0,53,40,14.99,LK,2020-08-30 08:50:46
8,La Rioja,42.25,-2.5,61.0,59,40,14.99,ES,2020-08-30 08:50:46
9,Qaanaaq,77.48,-69.36,29.7,78,0,5.59,GL,2020-08-30 08:50:46
10,Saint-Philippe,-21.36,55.77,77.0,61,22,28.86,RE,2020-08-30 08:50:46
11,Coquimbo,-29.95,-71.34,44.6,87,51,5.82,CL,2020-08-30 08:50:46
12,Upernavik,72.79,-56.15,40.17,72,0,1.68,GL,2020-08-30 08:50:47
13,Hermanus,-34.42,19.23,55.99,66,74,1.01,ZA,2020-08-30 08:48:04
14,Bam,29.11,58.36,89.31,11,0,25.9,IR,2020-08-30 08:50:47
15,Aleppo,36.25,37.5,104.97,7,0,5.28,SY,2020-08-30 08:50:47
16,Port Alfred,-33.59,26.89,54.36,58,89,14.7,ZA,2020-08-30 08:50:48
17,Gornopravdinsk,60.05,69.9,71.53,74,97,5.19,RU,2020-08-30 08:50:48
18,Dikson,73.51,80.55,41.61,95,100,20.22,RU,2020-08-30 08:50:48
19,Georgetown,5.41,100.34,89.6,66,40,8.05,MY,2020-08-30 08:50:48
20,Amapa,1.0,-52.0,70.84,98,54,1.25,BR,2020-08-30 08:50:48
21,Rosario,-32.95,-60.64,44.01,65,53,9.17,AR,2020-08-30 08:50:49
22,Omboue,-1.57,9.26,77.9,76,100,10.02,GA,2020-08-30 08:50:49
23,Olinda,-8.01,-34.86,78.8,78,75,13.87,BR,2020-08-30 08:49:51
24,Ushuaia,-54.8,-68.3,23.0,100,90,23.04,AR,2020-08-30 08:50:49
25,Barra Do Corda,-5.5,-45.25,71.46,66,0,2.21,BR,2020-08-30 08:50:49
26,Atar,20.52,-13.05,88.66,26,1,8.41,MR,2020-08-30 08:50:50
27,Carutapera,-1.2,-46.02,78.1,80,7,9.84,BR,2020-08-30 08:46:34
28,Bonavista,48.65,-53.11,57.99,83,100,8.01,CA,2020-08-30 08:50:50
29,Tasiilaq,65.61,-37.64,37.4,86,93,3.36,GL,2020-08-30 08:50:50
30,Souillac,-20.52,57.52,77.0,65,40,17.22,MU,2020-08-30 08:50:51
31,Batticaloa,7.71,81.69,87.91,60,38,13.53,LK,2020-08-30 08:50:51
32,Hobyo,5.35,48.53,84.45,62,0,25.88,SO,2020-08-30 08:50:51
33,Punta Arenas,-53.15,-70.92,33.8,74,50,11.41,CL,2020-08-30 08:50:51
34,Zwedru,6.07,-8.13,73.04,92,90,3.85,LR,2020-08-30 08:50:52
35,Dzaoudzi,-12.79,45.27,82.4,58,53,6.93,YT,2020-08-30 08:50:52
36,Hithadhoo,-0.6,73.08,83.01,68,51,6.02,MV,2020-08-30 08:50:52
37,Arraial Do Cabo,-22.97,-42.03,70.95,86,0,20.8,BR,2020-08-30 08:50:09
38,Erzurum,40.0,41.5,77.0,23,0,12.75,TR,2020-08-30 08:50:53
39,Delmas,-26.15,28.68,61.0,42,94,1.01,ZA,2020-08-30 08:50:53
40,Luderitz,-26.65,15.16,58.57,34,0,14.83,NA,2020-08-30 08:50:53
41,Remanso,-9.62,-42.08,70.79,79,2,12.37,BR,2020-08-30 08:50:53
42,Busselton,-33.65,115.33,62.01,37,7,5.32,AU,2020-08-30 08:50:54
43,Pirassununga,-22.0,-47.43,62.2,56,0,3.78,BR,2020-08-30 08:50:54
44,Vila Franca Do Campo,37.72,-25.43,73.4,83,40,3.36,PT,2020-08-30 08:50:54
45,Altoona,40.52,-78.39,64.4,72,90,4.97,US,2020-08-30 08:50:54
46,Husavik,66.04,-17.34,55.4,62,75,20.8,IS,2020-08-30 08:50:55
47,Nanortalik,60.14,-45.24,46.65,76,100,10.11,GL,2020-08-30 08:50:55
48,Manoharpur,27.3,75.95,82.4,83,75,6.93,IN,2020-08-30 08:50:55
49,Codrington,-38.27,141.97,49.28,83,100,18.03,AU,2020-08-30 08:50:55
50,Vestmannaeyjar,63.44,-20.27,52.9,93,100,20.87,IS,2020-08-30 08:50:56
51,Thompson,55.74,-97.86,51.8,87,75,4.7,CA,2020-08-30 08:50:56
52,Torbay,47.67,-52.73,57.99,87,90,13.87,CA,2020-08-30 08:50:56
53,Villa Carlos Paz,-31.42,-64.5,48.99,42,42,5.82,AR,2020-08-30 08:50:56
54,Quelimane,-17.88,36.89,82.4,58,3,4.7,MZ,2020-08-30 08:46:28
55,Iqaluit,63.75,-68.51,44.6,81,40,3.36,CA,2020-08-30 08:50:57
56,Taft,31.75,54.21,87.8,14,0,11.41,IR,2020-08-30 08:50:57
57,Victoria,22.29,114.16,89.01,62,100,10.0,HK,2020-08-30 08:46:28
58,Itarema,-2.92,-39.92,75.9,80,20,15.48,BR,2020-08-30 08:50:57
59,Hofn,64.25,-15.21,50.0,87,90,6.2,IS,2020-08-30 08:50:57
60,Tara,56.89,74.37,73.78,59,92,5.95,RU,2020-08-30 08:50:58
61,Skjervoy,70.03,20.97,47.05,82,92,9.93,NO,2020-08-30 08:50:58
62,Cidreira,-30.18,-50.21,60.4,95,100,10.71,BR,2020-08-30 08:50:58
63,Salalah,17.02,54.09,75.2,100,90,5.82,OM,2020-08-30 08:50:58
64,Gezing,47.92,13.13,59.0,93,75,3.36,AT,2020-08-30 08:50:59
65,Geraldton,-28.77,114.6,73.4,40,0,6.93,AU,2020-08-30 08:50:59
66,Sao Felix Do Xingu,-6.64,-51.99,69.03,59,0,1.36,BR,2020-08-30 08:50:59
67,Artyom,40.47,50.33,84.2,39,4,9.17,AZ,2020-08-30 08:50:59
68,Ilulissat,69.22,-51.1,39.2,80,0,3.36,GL,2020-08-30 08:50:59
69,Pangnirtung,66.15,-65.71,42.66,65,1,2.44,CA,2020-08-30 08:51:00
70,Qaqortoq,60.72,-46.03,59.0,33,75,20.8,GL,2020-08-30 08:51:00
71,Gao,16.64,1.64,82.76,67,16,14.12,ML,2020-08-30 08:51:00
72,Rio Grande,-32.03,-52.1,50.0,90,95,5.01,BR,2020-08-30 08:48:58
73,Kongwa,-6.2,36.42,87.57,24,0,5.32,TZ,2020-08-30 08:51:00
74,Karpathos,35.51,27.21,84.2,62,0,29.97,GR,2020-08-30 08:51:01
75,Oyem,1.6,11.58,73.4,88,90,2.98,GA,2020-08-30 08:51:01
76,Bosobolo,4.18,19.9,70.68,97,100,1.66,CD,2020-08-30 08:51:01
77,Havre-Saint-Pierre,50.23,-63.6,50.0,87,90,9.17,CA,2020-08-30 08:51:01
78,Tessalit,20.2,1.01,86.7,48,0,15.93,ML,2020-08-30 08:51:02
79,Cesis,57.31,25.27,64.0,81,100,5.01,LV,2020-08-30 08:51:02
80,Yelizavetino,59.49,29.79,60.8,82,90,8.95,RU,2020-08-30 08:51:02
81,Sao Borja,-28.66,-56.0,60.91,86,100,14.25,BR,2020-08-30 08:51:02
82,Port Elizabeth,-33.92,25.57,50.0,76,40,14.99,ZA,2020-08-30 08:46:24
83,Chimoio,-19.12,33.48,86.0,33,0,13.87,MZ,2020-08-30 08:46:29
84,Hamilton,39.18,-84.53,64.99,87,1,4.99,US,2020-08-30 08:51:03
85,Biscarrosse,44.39,-1.17,62.6,77,12,8.05,FR,2020-08-30 08:51:03
86,Aljezur,37.32,-8.8,66.0,71,13,1.01,PT,2020-08-30 08:51:03
87,Chiredzi,-21.05,31.67,88.66,28,0,9.22,ZW,2020-08-30 08:51:03
88,Nizwa,22.93,57.53,100.36,23,52,5.28,OM,2020-08-30 08:51:04
89,Boysun,38.21,67.2,80.55,20,5,7.45,UZ,2020-08-30 08:51:04
90,Port-Cartier,50.03,-66.87,48.99,87,90,5.82,CA,2020-08-30 08:51:04
91,Sekoma,-24.4,23.88,59.34,31,0,12.57,BW,2020-08-30 08:51:04
92,Jamestown,42.1,-79.24,61.0,93,1,10.29,US,2020-08-30 08:51:04
93,Plouzane,48.38,-4.62,59.0,77,17,10.29,FR,2020-08-30 08:51:05
94,Mar Del Plata,-38.0,-57.56,37.0,92,0,4.7,AR,2020-08-30 08:51:05
95,Civitavecchia,42.09,11.8,84.2,88,20,17.22,IT,2020-08-30 08:51:05
96,Hualmay,-11.1,-77.61,60.17,82,85,3.65,PE,2020-08-30 08:51:05
97,Laguna,38.42,-121.42,66.0,68,1,5.82,US,2020-08-30 08:51:06
98,Medeiros Neto,-17.37,-40.22,65.7,93,32,0.51,BR,2020-08-30 08:51:06
99,Sept-Iles,50.2,-66.38,48.99,87,90,5.82,CA,2020-08-30 08:49:02
100,Matagami,49.75,-77.63,51.8,93,90,7.61,CA,2020-08-30 08:51:06
101,Izhma,65.01,53.91,53.64,96,100,6.64,RU,2020-08-30 08:51:07
102,Bredasdorp,-34.53,20.04,53.6,66,89,9.17,ZA,2020-08-30 08:51:07
103,Ponta Do Sol,32.67,-17.1,73.4,60,40,14.99,PT,2020-08-30 08:51:07
104,Shetpe,44.17,52.12,82.83,27,0,18.39,KZ,2020-08-30 08:51:07
105,Veraval,20.9,70.37,80.28,87,100,15.1,IN,2020-08-30 08:51:07
106,Mulchen,-37.72,-72.23,34.77,87,0,5.82,CL,2020-08-30 08:51:08
107,Strezhevoy,60.73,77.59,64.4,82,75,6.71,RU,2020-08-30 08:49:14
